filepath,label
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_073.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_129.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_172.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_011.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_099.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_101.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_043.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_146.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_169.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_059.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_030.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_149.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_007.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_084.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_033.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_078.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_069.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_110.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_057.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_165.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_191.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_038.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_100.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_124.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_182.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_080.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_091.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_133.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_041.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_180.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_022.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_067.png,AS
/MATLAB Drive/pcg-vhd-matlab/data/scalograms/AS/New_AS_153.png,AS
